row_row__id,row_row__uuid,row_row__position,row_row__address,row_draw_date,row_winning_numbers,row_multiplier
row-nx2r_usun.g52b,00000000-0000-0000-9D99-B9EA775FDC5E,0,https://data.ny.gov/resource/d6yy-54nr/row-nx2r_usun.g52b,2020-09-26T00:00:00,11 21 27 36 62 24,3
row-e8ru_54jr.pm4v,00000000-0000-0000-43B5-52ACB7706E11,0,https://data.ny.gov/resource/d6yy-54nr/row-e8ru_54jr.pm4v,2020-09-30T00:00:00,14 18 36 49 67 18,2
row-tq8m.jys2~s8vu,00000000-0000-0000-A5B2-0AAE86635EA3,0,https://data.ny.gov/resource/d6yy-54nr/row-tq8m.jys2~s8vu,2020-10-03T00:00:00,18 31 36 43 47 20,2
row-fyha_3jj2-8cdk,00000000-0000-0000-8755-E68E26427D31,0,https://data.ny.gov/resource/d6yy-54nr/row-fyha_3jj2-8cdk,2020-10-07T00:00:00,06 24 30 53 56 19,2
row-t7k7-dhjv-h47w,00000000-0000-0000-EF27-CF03FBB38022,0,https://data.ny.gov/resource/d6yy-54nr/row-t7k7-dhjv-h47w,2020-10-10T00:00:00,05 18 23 40 50 18,3
row-i3k5~899x-wutj,00000000-0000-0000-7E77-83C7804B5419,0,https://data.ny.gov/resource/d6yy-54nr/row-i3k5~899x-wutj,2020-10-14T00:00:00,21 37 52 53 58 05,2
row-w8zh-c47q-bbtc,00000000-0000-0000-AFA8-11287BDAB3C9,0,https://data.ny.gov/resource/d6yy-54nr/row-w8zh-c47q-bbtc,2020-10-17T00:00:00,06 10 31 37 44 23,2
row-bp6s-tvvk~swqy,00000000-0000-0000-F65C-6363986382A2,0,https://data.ny.gov/resource/d6yy-54nr/row-bp6s-tvvk~swqy,2020-10-21T00:00:00,01 03 13 44 56 26,3
row-w3y7.4r9a-caat,00000000-0000-0000-3711-B495A26E6E8B,0,https://data.ny.gov/resource/d6yy-54nr/row-w3y7.4r9a-caat,2020-10-24T00:00:00,18 20 27 45 65 06,2
row-bgby.rijf-q7ca,00000000-0000-0000-B603-C21D314C79F7,0,https://data.ny.gov/resource/d6yy-54nr/row-bgby.rijf-q7ca,2020-10-28T00:00:00,11 28 37 40 53 13,2
row-xh5u_h835.a4u6,00000000-0000-0000-8F16-DE2E626AEEE9,0,https://data.ny.gov/resource/d6yy-54nr/row-xh5u_h835.a4u6,2020-10-31T00:00:00,02 06 40 42 55 24,3
row-s67d~ufrp-gkka,00000000-0000-0000-05EF-646441910561,0,https://data.ny.gov/resource/d6yy-54nr/row-s67d~ufrp-gkka,2020-11-04T00:00:00,23 32 33 45 49 14,2
row-8crv-kc3x.6eyv,00000000-0000-0000-AA7C-80934150BB36,0,https://data.ny.gov/resource/d6yy-54nr/row-8crv-kc3x.6eyv,2020-11-07T00:00:00,14 16 37 48 58 18,2
row-q7nm-qjjh-ew5z,00000000-0000-0000-425A-10439B01D135,0,https://data.ny.gov/resource/d6yy-54nr/row-q7nm-qjjh-ew5z,2020-11-11T00:00:00,13 15 17 45 63 13,2
row-ras5.fx54~bu5a,00000000-0000-0000-3BA3-52B2EC129BAC,0,https://data.ny.gov/resource/d6yy-54nr/row-ras5.fx54~bu5a,2020-11-14T00:00:00,07 15 18 32 45 20,2
row-rdnc~gk7k_ning,00000000-0000-0000-3921-62CB4C3F8BB3,0,https://data.ny.gov/resource/d6yy-54nr/row-rdnc~gk7k_ning,2020-11-18T00:00:00,04 05 17 43 52 05,2
row-bccs~8mh9_nxbi,00000000-0000-0000-70C9-A1AF2D6516A0,0,https://data.ny.gov/resource/d6yy-54nr/row-bccs~8mh9_nxbi,2020-11-21T00:00:00,51 54 57 60 69 11,2
row-qffq_uv2w_fgnp,00000000-0000-0000-572D-82B5CBDFCD3F,0,https://data.ny.gov/resource/d6yy-54nr/row-qffq_uv2w_fgnp,2020-11-25T00:00:00,02 57 58 60 65 26,2
row-g76b_gyw2.vr8j,00000000-0000-0000-FBE9-56B05DC92549,0,https://data.ny.gov/resource/d6yy-54nr/row-g76b_gyw2.vr8j,2020-11-28T00:00:00,08 12 18 44 51 18,2
row-bgaj.ji4e_n2we,00000000-0000-0000-0B8D-6EE0A701DE19,0,https://data.ny.gov/resource/d6yy-54nr/row-bgaj.ji4e_n2we,2020-12-02T00:00:00,28 31 40 41 46 04,3
row-8yxb~buwx.wmj7,00000000-0000-0000-E45A-255276475A66,0,https://data.ny.gov/resource/d6yy-54nr/row-8yxb~buwx.wmj7,2020-12-05T00:00:00,03 04 06 48 53 10,2
row-ydyt-huqa~qkdb,00000000-0000-0000-3ED5-E3D6D7CDB2BC,0,https://data.ny.gov/resource/d6yy-54nr/row-ydyt-huqa~qkdb,2020-12-09T00:00:00,11 14 31 47 48 04,3
row-jxit_vrun~fjb8,00000000-0000-0000-18DF-CFB1F1655A3B,0,https://data.ny.gov/resource/d6yy-54nr/row-jxit_vrun~fjb8,2020-12-12T00:00:00,17 54 56 63 69 20,2
row-zdnq-jewe-a9dz,00000000-0000-0000-DA9E-E22335E10B4F,0,https://data.ny.gov/resource/d6yy-54nr/row-zdnq-jewe-a9dz,2020-12-16T00:00:00,04 23 37 61 67 07,2
row-yey5_fgn8_cz86,00000000-0000-0000-B38F-504A794686D5,0,https://data.ny.gov/resource/d6yy-54nr/row-yey5_fgn8_cz86,2020-12-19T00:00:00,27 32 34 43 52 13,2
row-svfg.sxak_p56b,00000000-0000-0000-67F2-602A5D08401F,0,https://data.ny.gov/resource/d6yy-54nr/row-svfg.sxak_p56b,2020-12-23T00:00:00,06 13 38 39 53 06,3
row-aiz5-ddsd~whse,00000000-0000-0000-0122-DD4CE0A7A3F1,0,https://data.ny.gov/resource/d6yy-54nr/row-aiz5-ddsd~whse,2020-12-26T00:00:00,10 24 27 35 53 18,2
row-7axw_twrs_cbst,00000000-0000-0000-9CDB-A1FDA13EB858,0,https://data.ny.gov/resource/d6yy-54nr/row-7axw_twrs_cbst,2020-12-30T00:00:00,03 43 45 61 65 14,2
row-krvp_u6sc_yz48,00000000-0000-0000-8CBB-6F58C57B90FA,0,https://data.ny.gov/resource/d6yy-54nr/row-krvp_u6sc_yz48,2021-01-02T00:00:00,03 04 11 41 67 05,2
row-347v_8r52~umqy,00000000-0000-0000-A9BE-A078232C014E,0,https://data.ny.gov/resource/d6yy-54nr/row-347v_8r52~umqy,2021-01-06T00:00:00,01 20 22 60 66 03,3
row-sf6y.zzbt_yri5,00000000-0000-0000-26EF-F426F5B5EEC4,0,https://data.ny.gov/resource/d6yy-54nr/row-sf6y.zzbt_yri5,2021-01-09T00:00:00,14 26 38 45 46 13,2
row-6x37_nqwz_s9m3,00000000-0000-0000-AACA-7B061BFB9CE8,0,https://data.ny.gov/resource/d6yy-54nr/row-6x37_nqwz_s9m3,2021-01-13T00:00:00,04 19 23 25 49 14,2
row-3g92~hx79~rzy3,00000000-0000-0000-832B-49DFB0B6B3B5,0,https://data.ny.gov/resource/d6yy-54nr/row-3g92~hx79~rzy3,2021-01-16T00:00:00,14 20 39 65 67 02,3
row-i7rf_wqy4~xjsn,00000000-0000-0000-06FB-94BFBC419B57,0,https://data.ny.gov/resource/d6yy-54nr/row-i7rf_wqy4~xjsn,2021-01-20T00:00:00,40 53 60 68 69 22,3
row-jpbi.7wxu_pvca,00000000-0000-0000-8053-F028B2137AD5,0,https://data.ny.gov/resource/d6yy-54nr/row-jpbi.7wxu_pvca,2021-01-23T00:00:00,05 08 17 27 28 14,3
row-svsc.xfc7-zbnp,00000000-0000-0000-2CF2-C19374051E0C,0,https://data.ny.gov/resource/d6yy-54nr/row-svsc.xfc7-zbnp,2021-01-27T00:00:00,17 33 35 42 52 09,3
row-w6fj.49u3-g26x,00000000-0000-0000-E077-2EF0E614ACC3,0,https://data.ny.gov/resource/d6yy-54nr/row-w6fj.49u3-g26x,2021-01-30T00:00:00,01 02 07 52 61 04,3
row-r2fv_h7y7_nx9b,00000000-0000-0000-23A6-D4DB408C70EF,0,https://data.ny.gov/resource/d6yy-54nr/row-r2fv_h7y7_nx9b,2021-02-03T00:00:00,05 37 40 64 66 05,3
row-pq4u_cfdv~5m35,00000000-0000-0000-B61E-5A17CA75B8F1,0,https://data.ny.gov/resource/d6yy-54nr/row-pq4u_cfdv~5m35,2021-02-06T00:00:00,01 16 48 49 65 08,2
row-8eda-scd5_7pbw,00000000-0000-0000-4EAA-F7A825DEDBA9,0,https://data.ny.gov/resource/d6yy-54nr/row-8eda-scd5_7pbw,2021-02-10T00:00:00,15 39 58 63 67 07,2
row-a6p5-cmiw~rx4w,00000000-0000-0000-6C93-EA4057331632,0,https://data.ny.gov/resource/d6yy-54nr/row-a6p5-cmiw~rx4w,2021-02-13T00:00:00,20 28 33 63 68 20,2
row-drs3_vhni~gyb4,00000000-0000-0000-E89C-C4C5C7B0CFC9,0,https://data.ny.gov/resource/d6yy-54nr/row-drs3_vhni~gyb4,2021-02-17T00:00:00,01 15 21 32 46 01,3
row-3ef6_f6dy-szjy,00000000-0000-0000-3F9F-27E012AD9FBE,0,https://data.ny.gov/resource/d6yy-54nr/row-3ef6_f6dy-szjy,2021-02-20T00:00:00,04 08 22 32 58 04,10
row-5umd~rdgg-q8mw,00000000-0000-0000-093E-DA737267680D,0,https://data.ny.gov/resource/d6yy-54nr/row-5umd~rdgg-q8mw,2021-02-24T00:00:00,04 33 43 53 65 21,3
row-t6gb_9f4t~797d,00000000-0000-0000-2FB4-D72A96A31647,0,https://data.ny.gov/resource/d6yy-54nr/row-t6gb_9f4t~797d,2021-02-27T00:00:00,02 28 31 44 52 18,3
row-8ij4-yu6p_bjr2,00000000-0000-0000-B461-FA1B7984D1FD,0,https://data.ny.gov/resource/d6yy-54nr/row-8ij4-yu6p_bjr2,2021-03-03T00:00:00,21 40 44 50 55 16,3
row-hiy9-ata3-75jy,00000000-0000-0000-A0AC-782F385BD0E1,0,https://data.ny.gov/resource/d6yy-54nr/row-hiy9-ata3-75jy,2021-03-06T00:00:00,11 31 50 52 58 18,4
row-3mc7~jqkk_g5je,00000000-0000-0000-2468-FB3A787927A2,0,https://data.ny.gov/resource/d6yy-54nr/row-3mc7~jqkk_g5je,2021-03-10T00:00:00,17 18 37 44 53 18,3
row-azdt-b2a5.3zs8,00000000-0000-0000-D5E1-FD3B193CA7C6,0,https://data.ny.gov/resource/d6yy-54nr/row-azdt-b2a5.3zs8,2021-03-13T00:00:00,05 11 51 56 61 02,2
row-w4z5~se68_hipp,00000000-0000-0000-B6A9-DDC250A72B7F,0,https://data.ny.gov/resource/d6yy-54nr/row-w4z5~se68_hipp,2021-03-17T00:00:00,34 38 42 61 62 19,2
row-8p6s_4cf6-bzpe,00000000-0000-0000-40FA-85C47621098D,0,https://data.ny.gov/resource/d6yy-54nr/row-8p6s_4cf6-bzpe,2021-03-20T00:00:00,01 06 22 42 61 04,3
row-9vy8.iiww-dsw4,00000000-0000-0000-BF25-80AE15EF7156,0,https://data.ny.gov/resource/d6yy-54nr/row-9vy8.iiww-dsw4,2021-03-24T00:00:00,04 09 17 27 38 18,2
row-t5re-qb7n_p2k6,00000000-0000-0000-CB80-520C0655EB52,0,https://data.ny.gov/resource/d6yy-54nr/row-t5re-qb7n_p2k6,2021-03-27T00:00:00,06 14 38 39 65 06,3
